ExpLife,GDP
72.88,18970.57086
74.21,22090.88306
75.76,22898.79214
76.86,26626.51503
77.95,26342.88426
78.61,28954.92589
79.77,33328.96507
80.653,36319.23501
35.463,1071.310713
37.464,1190.844328
39.475,1193.068753
41.478,1136.056615
43.457,1070.013275
46.775,1109.374338
48.295,956.7529907
50.485,844.8763504
49.396,747.9055252
46.066,740.5063317
43.308,738.6906068
44.741,706.016537
38.092,1178.665927
39.881,1308.495577
41.716,1389.817618
43.601,1196.810565
45.569,1104.103987
47.383,1133.98495
49.517,797.9081006
51.051,952.386129
51.724,1058.0643
51.573,1004.961353
50.525,1156.18186
50.651,1704.063724
54.745,3939.978789
56.074,4315.622723
57.924,4519.094331
60.523,5106.654313
63.441,5494.024437
67.052,4756.763836
70.565,5095.665738
72.492,5547.063754
74.126,7596.125964
75.816,10118.05318
77.86,10778.78385
78.553,13171.63885
44,400.448611
50.54896,575.9870009
44.50136,487.6740183
58.38112,612.7056934
63.11888,676.9000921
63.96736,741.2374699
65.525,962.4213805
67.274,1378.904018
68.69,1655.784158
70.426,2289.234136
72.028,3119.280896
72.961,4959.114854
50.643,2144.115096
55.118,2323.805581
57.863,2492.351109
59.963,2678.729839
61.623,3264.660041
63.837,3815.80787
66.653,4397.575659
67.768,4903.2191
68.421,5444.648617
70.313,6117.361746
71.682,5755.259962
72.889,7006.580419
40.715,1102.990936
42.46,1211.148548
44.467,1406.648278
46.472,1876.029643
48.944,1937.577675
50.939,1172.603047
52.933,1267.100083
54.926,1315.980812
57.939,1246.90737
60.66,1173.618235
62.974,1075.811558
65.152,986.1478792
39.143,780.5423257
40.652,905.8602303
42.122,896.3146335
44.056,861.5932424
45.989,904.8960685
47.804,795.757282
47.784,673.7478181
47.412,672.774812
45.548,457.7191807
42.587,312.188423
44.966,241.1658765
46.462,277.5518587
42.111,2125.621418
45.053,2315.056572
48.435,2464.783157
52.04,2677.939642
54.907,3213.152683
55.625,3259.178978
56.695,4879.507522
57.47,4201.194937
56.433,4016.239529
52.962,3484.164376
52.97,3484.06197
55.322,3632.557798
57.206,2627.009471
60.026,2990.010802
62.842,3460.937025
65.424,4161.727834
67.849,5118.146939
70.75,5926.876967
73.45,5262.734751
74.752,5629.915318
75.713,6160.416317
77.26,6677.045314
78.123,7723.447195
78.782,9645.06142
40.477,1388.594732
42.469,1500.895925
44.93,1728.869428
47.35,2052.050473
49.801,2378.201111
52.374,2517.736547
53.983,2602.710169
54.655,2156.956069
52.044,1648.073791
47.991,1786.265407
46.832,1648.800823
48.328,1544.750112
61.21,3119.23652
64.77,4338.231617
67.13,5477.890018
68.5,6960.297861
69.61,9164.090127
70.64,11305.38517
70.46,13221.82184
71.52,13822.58394
72.527,8447.794873
73.68,9875.604515
74.876,11628.38895
75.748,14619.22272
59.421,5586.53878
62.325,6092.174359
65.246,5180.75591
68.29,5690.268015
70.723,5305.445256
72.649,6380.494966
73.717,7316.918107
74.174,7532.924763
74.414,5592.843963
76.151,5431.990415
77.158,6340.646683
78.273,8948.102923
66.87,6876.14025
69.03,8256.343918
69.9,10136.86713
70.38,11399.44489
70.29,13108.4536
70.71,14800.16062
70.96,15377.22855
71.58,16310.4434
72.4,14297.02122
74.01,16048.51424
75.51,17596.21022
76.486,22833.30851
70.78,9692.385245
71.81,11099.65935
72.35,13583.31351
72.96,15937.21123
73.47,18866.20721
74.69,20422.9015
74.63,21688.04048
74.8,25116.17581
75.33,26406.73985
76.11,29804.34567
77.18,32166.50006
78.332,35278.41874
34.812,2669.529475
37.328,2864.969076
39.693,3020.989263
42.074,3020.050513
44.366,3694.212352
46.519,3081.761022
48.812,2879.468067
50.04,2880.102568
51.604,2377.156192
53.157,1895.016984
53.373,1908.260867
54.791,2082.481567
45.928,1397.717137
49.828,1544.402995
53.459,1662.137359
56.751,1653.723003
59.631,2189.874499
61.788,2681.9889
63.727,2861.092386
66.046,2899.842175
68.457,3044.214214
69.957,3614.101285
70.847,4563.808154
72.235,6025.374752
48.357,3522.110717
51.356,3780.546651
54.64,4086.114078
56.678,4579.074215
58.796,5280.99471
61.31,6679.62326
64.342,7213.791267
67.231,6481.776993
69.613,7103.702595
72.312,7429.455877
74.173,5773.044512
74.994,6873.262326
41.893,1418.822445
44.444,1458.915272
46.992,1693.335853
49.293,1814.880728
51.137,2024.008147
53.319,2785.493582
56.006,3503.729636
59.797,3885.46071
63.674,3794.755195
67.217,4173.181797
69.806,4754.604414
71.338,5581.180998
45.262,3048.3029
48.57,3421.523218
52.307,3776.803627
55.855,4358.595393
58.207,4520.246008
56.696,5138.922374
56.604,4098.344175
63.154,4140.442097
66.798,4444.2317
69.535,5154.825496
70.734,5351.568666
71.878,5728.353514
34.482,375.6431231
35.983,426.0964081
37.485,582.8419714
38.987,915.5960025
40.516,672.4122571
42.024,958.5668124
43.662,927.8253427
45.664,966.8968149
47.545,1132.055034
48.245,2814.480755
49.348,7703.4959
51.579,12154.08975
35.928,328.9405571
38.047,344.1618859
40.158,380.9958433
42.189,468.7949699
44.142,514.3242082
44.535,505.7538077
43.89,524.8758493
46.453,521.1341333
49.991,582.8585102
53.378,913.47079
55.24,765.3500015
58.04,641.3695236
34.078,362.1462796
36.667,378.9041632
40.059,419.4564161
42.115,516.1186438
43.515,566.2439442
44.51,556.8083834
44.916,577.8607471
46.684,573.7413142
48.091,421.3534653
49.402,515.8894013
50.725,530.0535319
52.947,690.8055759
66.55,6424.519071
67.49,7545.415386
68.75,9371.842561
69.83,10921.63626
70.87,14358.8759
72.52,15605.42283
74.55,18533.15761
74.83,21141.01223
75.7,20647.16499
77.13,23723.9502
78.37,28204.59057
79.313,33207.0844
67.41,7029.809327
68.93,8662.834898
70.51,10560.48553
71.55,12999.91766
72.38,16107.19171
73.83,18292.63514
74.89,20293.89746
76.34,22066.44214
77.46,24703.79615
78.64,25889.78487
79.59,28926.03234
80.657,30470.0167
37.003,4293.476475
38.999,4976.198099
40.489,6631.459222
44.598,8358.761987
48.69,11401.94841
52.79,21745.57328
56.564,15113.36194
60.19,11864.40844
61.366,13522.15752
60.461,14722.84188
56.761,12521.71392
56.735,13206.48452
30,485.2306591
32.065,520.9267111
33.896,599.650276
35.857,734.7829124
38.308,756.0868363
41.842,884.7552507
45.58,835.8096108
49.265,611.6588611
52.644,665.6244126
55.861,653.7301704
58.041,660.5855997
59.448,752.7497265
67.5,7144.114393
69.1,10187.82665
70.3,12902.46291
70.8,14745.62561
71,18016.18027
72.5,20512.92123
73.8,22031.53274
74.847,24639.18566
76.07,26505.30317
77.34,27788.88416
78.67,30035.80198
79.406,32170.37442
43.149,911.2989371
44.779,1043.561537
46.452,1190.041118
48.072,1125.69716
49.875,1178.223708
51.756,993.2239571
53.744,876.032569
55.729,847.0061135
57.501,925.060154
58.556,1005.245812
58.453,1111.984578
60.022,1327.60891
65.86,3530.690067
67.86,4916.299889
69.51,6017.190733
71,8513.097016
72.34,12724.82957
73.68,14195.52428
75.24,15268.42089
76.67,16120.52839
77.03,17541.49634
77.869,18747.69814
78.256,22514.2548
79.483,27538.41188
42.023,2428.237769
44.142,2617.155967
46.954,2750.364446
50.016,3242.531147
53.738,4031.408271
56.029,4879.992748
58.137,4820.49479
60.782,4246.485974
63.373,4439.45084
66.322,4684.313807
68.978,4858.347495
70.259,5186.050003
33.609,510.1964923
34.558,576.2670245
35.753,686.3736739
37.197,708.7595409
38.842,741.6662307
40.762,874.6858643
42.891,857.2503577
45.552,805.5724718
48.576,794.3484384
51.455,869.4497668
53.676,945.5835837
56.007,942.6542111
32.5,299.850319
33.489,431.7904566
34.488,522.0343725
35.492,715.5806402
36.486,820.2245876
37.465,764.7259628
39.327,838.1239671
41.245,736.4153921
43.266,745.5398706
44.873,796.6644681
45.504,575.7047176
46.388,579.231743
37.579,1840.366939
40.696,1726.887882
43.59,1796.589032
46.243,1452.057666
48.042,1654.456946
49.923,1874.298931
51.461,2011.159549
53.636,1823.015995
55.089,1456.309517
56.671,1341.726931
58.137,1270.364932
60.916,1201.637154
41.912,2194.926204
44.665,2220.487682
48.041,2291.156835
50.924,2538.269358
53.884,2529.842345
57.402,3203.208066
60.909,3121.760794
64.492,3023.096699
66.399,3081.694603
67.659,3160.454906
68.565,3099.72866
70.198,3548.330846
60.96,3054.421209
64.75,3629.076457
67.65,4692.648272
70,6197.962814
72,8315.928145
73.6,11186.14125
75.45,14560.53051
76.2,20038.47269
77.601,24757.60301
80,28377.63219
81.495,30209.01516
82.208,39724.97867
64.03,5263.673816
66.41,6040.180011
67.96,7550.359877
69.5,9326.64467
69.76,10168.65611
69.95,11674.83737
69.39,12545.99066
69.58,12986.47998
69.17,10535.62855
71.04,11712.7768
72.59,14843.93556
73.338,18008.94444
72.49,7267.688428
73.47,9244.001412
73.68,10350.15906
73.73,13319.89568
74.46,15798.06362
76.11,19654.96247
76.99,23269.6075
77.23,26923.20628
78.77,25144.39201
78.95,28061.09966
80.5,31163.20196
81.757,36180.78919
37.373,546.5657493
40.249,590.061996
43.605,658.3471509
47.193,700.7706107
50.651,724.032527
54.208,813.337323
56.596,855.7235377
58.553,976.5126756
60.223,1164.406809
61.765,1458.817442
62.879,1746.769454
64.698,2452.210407
37.468,749.6816546
39.918,858.9002707
42.518,849.2897701
45.964,762.4317721
49.203,1111.107907
52.702,1382.702056
56.159,1516.872988
60.137,1748.356961
62.681,2383.140898
66.041,3119.335603
68.588,2873.91287
70.65,3540.651564
44.869,3035.326002
47.181,3290.257643
49.325,4187.329802
52.469,5906.731805
55.234,9613.818607
57.702,11888.59508
59.62,7608.334602
63.04,6642.881371
65.742,7235.653188
68.042,8263.590301
69.451,9240.761975
70.964,11605.71449
45.32,4129.766056
48.437,6229.333562
51.457,8341.737815
54.459,8931.459811
56.95,9576.037596
60.413,14688.23507
62.038,14517.90711
65.044,11643.57268
59.461,3745.640687
58.811,3076.239795
57.046,4390.717312
59.545,4471.061906
66.91,5210.280328
68.9,5599.077872
70.29,6631.597314
71.08,7655.568963
71.28,9530.772896
72.03,11150.98113
73.1,12618.32141
74.36,13872.86652
75.467,17558.81555
76.122,24521.94713
77.783,34077.04939
78.885,40675.99635
65.39,4086.522128
67.84,5385.278451
69.39,7105.630706
70.75,8393.741404
71.63,12786.93223
73.06,13306.61921
74.45,15367.0292
75.6,17122.47986
76.93,18051.52254
78.269,20896.60924
79.696,21905.59514
80.745,25523.2771
65.94,4931.404155
67.81,6248.656232
69.24,8243.58234
71.06,10022.40131
72.19,12269.27378
73.48,14255.98475
74.98,16537.4835
76.42,19207.23482
77.44,22013.64486
78.82,24675.02446
80.24,27968.09817
80.546,28569.7197
58.53,2898.530881
62.61,4756.525781
65.61,5246.107524
67.51,6124.703451
69,7433.889293
70.11,6650.195573
71.21,6068.05135
71.77,6351.237495
71.766,7404.923685
72.262,7121.924704
72.047,6994.774861
72.567,7320.880262
63.03,3216.956347
65.5,4317.694365
68.73,6576.649461
71.43,9847.788607
73.42,14778.78636
75.38,16610.37701
77.11,19384.10571
78.67,22375.94189
79.36,26824.89511
80.69,28816.58499
82,28604.5919
82.603,31656.06806
43.158,1546.907807
45.669,1886.080591
48.126,2348.009158
51.629,2741.796252
56.528,2110.856309
61.134,2852.351568
63.739,4161.415959
65.869,4448.679912
68.015,3431.593647
69.772,3645.379572
71.263,3844.917194
72.535,4519.461171
42.27,853.540919
44.686,944.4383152
47.949,896.9663732
50.654,1056.736457
53.559,1222.359968
56.155,1267.613204
58.766,1348.225791
59.339,1361.936856
59.285,1341.921721
54.407,1360.485021
50.992,1287.514732
54.11,1463.249282
50.056,1088.277758
54.081,1571.134655
56.656,1621.693598
59.942,2143.540609
63.983,3701.621503
67.159,4106.301249
69.1,4106.525293
70.647,4106.492315
69.978,3726.063507
67.727,1690.756814
66.662,1646.758151
67.297,1593.06548
47.453,1030.592226
52.681,1487.593537
55.292,1536.344387
57.716,2029.228142
62.612,3030.87665
64.766,4657.22102
67.123,5622.942464
69.81,8533.088805
72.244,12104.27872
74.647,15993.52796
77.045,19233.98818
78.623,23348.13973
55.565,108382.3529
58.033,113523.1329
60.47,95458.11176
64.624,80894.88326
67.712,109347.867
69.343,59265.47714
71.309,31354.03573
74.174,28118.42998
75.19,34932.91959
76.156,40300.61996
76.904,35110.10566
77.588,47306.98978
55.928,4834.804067
59.489,6089.786934
62.094,5714.560611
63.87,6006.983042
65.421,7486.384341
66.099,8659.696836
66.983,7640.519521
67.926,5377.091329
69.292,6890.806854
70.265,8754.96385
71.028,9313.93883
71.993,10461.05868
42.138,298.8462121
45.047,335.9971151
47.747,411.8006266
48.492,498.6390265
49.767,496.5815922
52.208,745.3695408
55.078,797.2631074
57.18,773.9932141
59.685,977.4862725
55.558,1186.147994
44.593,1275.184575
42.592,1569.331442
38.48,575.5729961
39.486,620.9699901
40.502,634.1951625
41.536,713.6036483
42.614,803.0054535
43.764,640.3224383
44.852,572.1995694
46.027,506.1138573
40.802,636.6229191
42.221,609.1739508
43.753,531.4823679
45.678,414.5073415
42.723,2387.54806
45.289,3448.284395
47.808,6757.030816
50.227,18772.75169
52.773,21011.49721
57.442,21951.21176
62.155,17364.27538
66.234,11770.5898
68.755,9640.138501
71.555,9467.446056
72.737,9534.677467
73.952,12057.49928
36.681,1443.011715
38.865,1589.20275
40.848,1643.38711
42.881,1634.047282
44.851,1748.562982
46.881,1544.228586
48.969,1302.878658
49.35,1155.441948
52.214,1040.67619
54.978,986.2958956
57.286,894.6370822
59.443,1044.770126
36.256,369.1650802
37.207,416.3698064
38.41,427.9010856
39.487,495.5147806
41.766,584.6219709
43.767,663.2236766
45.642,632.8039209
47.457,635.5173634
49.42,563.2000145
47.495,692.2758103
45.009,665.4231186
48.303,759.3499101
48.463,1831.132894
52.102,1810.066992
55.737,2036.884944
59.371,2277.742396
63.01,2849.09478
65.256,3827.921571
68,4920.355951
69.5,5249.802653
70.693,7277.912802
71.938,10132.90964
73.044,10206.97794
74.241,12451.6558
33.685,452.3369807
35.307,490.3821867
36.936,496.1743428
38.487,545.0098873
39.977,581.3688761
41.714,686.3952693
43.916,618.0140641
46.364,684.1715576
48.388,739.014375
49.903,790.2579846
51.818,951.4097518
54.467,1042.581557
40.543,743.1159097
42.338,846.1202613
44.248,1055.896036
46.289,1421.145193
48.437,1586.851781
50.852,1497.492223
53.599,1481.150189
56.145,1421.603576
58.333,1361.369784
60.43,1483.136136
62.247,1579.019543
64.164,1803.151496
50.986,1967.955707
58.089,2034.037981
60.246,2529.067487
61.557,2475.387562
62.944,2575.484158
64.93,3710.982963
66.711,3688.037739
68.74,4783.586903
69.745,6058.253846
70.736,7425.705295
71.954,9021.815894
72.801,10956.99112
50.789,3478.125529
55.19,4131.546641
58.299,4581.609385
60.11,5754.733883
62.361,6809.40669
65.032,7674.929108
67.405,9611.147541
69.498,8688.156003
71.455,9472.384295
73.67,9767.29753
74.902,10742.44053
76.195,11977.57496
42.244,786.5668575
45.248,912.6626085
48.251,1056.353958
51.253,1226.04113
53.754,1421.741975
55.491,1647.511665
57.489,2000.603139
60.222,2338.008304
61.271,1785.402016
63.625,1902.2521
65.033,2140.739323
66.803,3095.772271
59.164,2647.585601
61.448,3682.259903
63.728,4649.593785
67.178,5907.850937
70.636,7778.414017
73.066,9595.929905
74.101,11222.58762
74.865,11732.51017
75.435,7003.339037
75.445,6465.613349
73.981,6557.194282
74.543,9253.896111
42.873,1688.20357
45.423,1642.002314
47.924,1566.353493
50.335,1711.04477
52.862,1930.194975
55.73,2370.619976
59.65,2702.620356
62.677,2755.046991
65.393,2948.047252
67.66,2982.101858
69.615,3258.495584
71.164,3820.17523
31.286,468.5260381
33.779,495.5868333
36.161,556.6863539
38.113,566.6691539
40.328,724.9178037
42.495,502.3197334
42.795,462.2114149
42.861,389.8761846
44.284,410.8968239
46.344,472.3460771
44.026,633.6179466
42.082,823.6856205
36.319,331
41.905,350
45.108,388
49.379,349
53.07,357
56.059,371
58.056,424
58.339,385
59.32,347
60.328,415
59.908,611
62.069,944
41.725,2423.780443
45.226,2621.448058
48.386,3173.215595
51.159,3793.694753
53.867,3746.080948
56.437,3876.485958
58.968,4191.100511
60.835,3693.731337
61.999,3804.537999
58.909,3899.52426
51.479,4072.324751
52.906,4811.060429
36.157,545.8657229
37.686,597.9363558
39.393,652.3968593
41.472,676.4422254
43.971,674.7881296
46.748,694.1124398
49.594,718.3730947
52.537,775.6324501
55.727,897.7403604
59.426,1010.892138
61.34,1057.206311
63.785,1091.359778
72.13,8941.571858
72.99,11276.19344
73.23,12790.84956
73.82,15363.25136
73.75,18794.74567
75.24,21209.0592
76.05,21399.46046
76.83,23651.32361
77.42,26790.94961
78.03,30246.13063
78.53,33724.75778
79.762,36797.93332
69.39,10556.57566
70.26,12247.39532
71.24,13175.678
71.52,14463.91893
71.89,16046.03728
72.22,16233.7177
73.84,17632.4104
74.32,19007.19129
76.33,18363.32494
77.55,21050.41377
79.11,23189.80135
80.204,25185.00911
42.314,3112.363948
45.432,3457.415947
48.632,3634.364406
51.884,4643.393534
55.151,4688.593267
57.47,5486.371089
59.298,3470.338156
62.008,2955.984375
65.843,2170.151724
68.426,2253.023004
70.836,2474.548819
72.899,2749.320965
37.444,761.879376
38.598,835.5234025
39.487,997.7661127
40.118,1054.384891
40.546,954.2092363
41.291,808.8970728
42.598,909.7221354
44.555,668.3000228
47.391,581.182725
51.313,580.3052092
54.496,601.0745012
56.867,619.6768924
36.324,1077.281856
37.802,1100.592563
39.36,1150.927478
41.04,1014.514104
42.821,1698.388838
44.514,1981.951806
45.826,1576.97375
46.886,1385.029563
47.472,1619.848217
47.464,1624.941275
46.608,1615.286395
46.859,2013.977305
72.67,10095.42172
73.44,11653.97304
73.47,13450.40151
74.08,16361.87647
74.34,18965.05551
75.37,23311.34939
75.97,26298.63531
75.89,31540.9748
77.32,33965.66115
78.32,41283.16433
79.05,44683.97525
80.196,49357.19017
37.578,1828.230307
40.08,2242.746551
43.165,2924.638113
46.988,4720.942687
52.143,10618.03855
57.367,11848.34392
62.728,12954.79101
67.734,18115.22313
71.197,18616.70691
72.499,19702.05581
74.193,19774.83687
75.64,22316.19287
43.436,684.5971438
45.557,747.0835292
47.67,803.3427418
49.8,942.4082588
51.929,1049.938981
54.043,1175.921193
56.158,1443.429832
58.245,1704.686583
60.838,1971.829464
61.818,2049.350521
63.61,2092.712441
65.483,2605.94758
55.191,2480.380334
59.201,2961.800905
61.817,3536.540301
64.071,4421.009084
66.216,5364.249663
68.681,5351.912144
70.472,7009.601598
71.523,7034.779161
72.462,6618.74305
73.738,7113.692252
74.712,7356.031934
75.537,9809.185636
62.649,1952.308701
63.196,2046.154706
64.361,2148.027146
64.951,2299.376311
65.815,2523.337977
66.353,3248.373311
66.874,4258.503604
67.378,3998.875695
68.225,4196.411078
69.4,4247.400261
70.755,3783.674243
71.752,4172.838464
43.902,3758.523437
46.263,4245.256698
49.096,4957.037982
51.445,5788.09333
55.448,5937.827283
58.447,6281.290855
61.406,6434.501797
64.134,6360.943444
66.458,4446.380924
68.386,5838.347657
69.906,5909.020073
71.421,7408.905561
47.752,1272.880995
51.334,1547.944844
54.757,1649.552153
56.393,1814.12743
58.065,1989.37407
60.06,2373.204287
62.082,2603.273765
64.151,2189.634995
66.458,2279.324017
68.564,2536.534925
70.303,2650.921068
71.688,3190.481016
61.31,4029.329699
65.77,4734.253019
67.64,5338.752143
69.61,6557.152776
70.85,8006.506993
70.67,9508.141454
71.32,8451.531004
70.98,9082.351172
70.99,7738.881247
72.75,10159.58368
74.67,12002.23908
75.563,15389.92468
59.82,3068.319867
61.51,3774.571743
64.39,4727.954889
66.6,6361.517993
69.26,9022.247417
70.41,10172.48572
72.77,11753.84291
74.06,13039.30876
74.86,16207.26663
75.97,17641.03156
77.29,19970.90787
78.098,20509.64777
64.28,3081.959785
68.54,3907.156189
69.62,5108.34463
71.1,6929.277714
72.16,9123.041742
73.44,9770.524921
73.75,10330.98915
74.63,12281.34191
73.911,14641.58711
74.917,16999.4333
77.778,18855.60618
78.746,19328.70901
52.724,2718.885295
55.09,2769.451844
57.666,3173.72334
60.542,4021.175739
64.274,5047.658563
67.064,4319.804067
69.885,5267.219353
71.913,5303.377488
73.615,6101.255823
74.772,6071.941411
75.744,6316.1652
76.442,7670.122558
61.05,3144.613186
64.1,3943.370225
66.8,4734.997586
66.8,6470.866545
69.21,8011.414402
69.46,9356.39724
69.66,9605.314053
69.53,9696.273295
69.36,6598.409903
69.72,7346.547557
71.322,7885.360081
72.476,10808.47561
40,493.3238752
41.5,540.2893983
43,597.4730727
44.1,510.9637142
44.6,590.5806638
45,670.0806011
46.218,881.5706467
44.02,847.991217
23.599,737.0685949
36.087,589.9445051
43.413,785.6537648
46.242,863.0884639
46.471,879.5835855
48.945,860.7369026
51.893,1071.551119
54.425,1384.840593
56.48,1532.985254
58.55,1737.561657
60.351,1890.218117
61.728,1516.525457
62.742,1428.777814
63.306,1339.076036
64.337,1353.09239
65.528,1598.435089
39.875,6459.554823
42.868,8157.591248
45.914,11626.41975
49.901,16903.04886
53.886,24837.42865
58.69,34167.7626
63.012,33693.17525
66.295,21198.26136
68.768,24841.61777
70.533,20586.69019
71.626,19014.54118
72.777,21654.83194
37.278,1450.356983
39.329,1567.653006
41.454,1654.988723
43.563,1612.404632
45.815,1597.712056
48.879,1561.769116
52.379,1518.479984
55.769,1441.72072
58.196,1367.899369
60.187,1392.368347
61.6,1519.635262
63.062,1712.472136
57.996,3581.459448
61.685,4981.090891
64.531,6289.629157
66.914,7991.707066
68.7,10522.06749
70.3,12980.66956
70.162,15181.0927
71.218,15870.87851
71.659,9325.068238
72.232,7914.320304
73.213,7236.075251
74.002,9786.534714
30.331,879.7877358
31.57,1004.484437
32.767,1116.639877
34.113,1206.043465
35.4,1353.759762
36.788,1348.285159
38.445,1465.010784
40.006,1294.447788
38.333,1068.696278
39.897,574.6481576
41.012,699.489713
42.568,862.5407561
60.396,2315.138227
63.179,2843.104409
65.798,3674.735572
67.946,4977.41854
69.521,8597.756202
70.795,11210.08948
71.76,15169.16112
73.56,18861.53081
75.788,24769.8912
77.158,33519.4766
78.77,36023.1054
79.972,47143.17964
64.36,5074.659104
67.45,6093.26298
70.33,7481.107598
70.98,8412.902397
70.35,9674.167626
70.45,10922.66404
70.8,11348.54585
71.08,12037.26758
71.38,9498.467723
72.71,12126.23065
73.8,13638.77837
74.663,18678.31435
65.57,4215.041741
67.85,5862.276629
69.15,7402.303395
69.18,9405.489397
69.82,12383.4862
70.97,15277.03017
71.063,17866.72175
72.25,18678.53492
73.64,14214.71681
75.13,17161.10735
76.66,20660.01936
77.926,25768.25759
32.978,1135.749842
34.977,1258.147413
36.981,1369.488336
38.977,1284.73318
40.973,1254.576127
41.974,1450.992513
42.955,1176.807031
44.501,1093.244963
39.658,926.9602964
43.795,930.5964284
45.936,882.0818218
48.159,926.1410683
45.009,4725.295531
47.985,5487.104219
49.951,5768.729717
51.927,7114.477971
