y       x1     x2     x3     x4      x5      x6 
1.7386 1.0377 -0.3969 0.975 1.1473 -1.6485 0.4255
1.6528 -0.357 0.2311 2.7848 -0.6161 0.0331 -0.5793
1.7609 -0.2553 0.5753 0.8904 0.1749 -0.2754 0.3936
1.706 1.4416 -1.0341 1.5007 0.2915 -0.1411 -0.4485
1.8141 0.4172 -0.603 2.0893 -0.3789 0.4633 -0.4138
1.7592 0.6495 0.4138 1.6175 0.651 -1.5115 -0.1782
1.8673 -0.1032 -0.2255 3.6147 -1.0683 -0.8179 0.1986
1.7815 3.2365 0.4404 -1.6881 1.1865 -0.228 -1.2221
1.8716 -0.5271 0.6558 2.9737 1.2831 -1.8278 -0.9125
1.8038 0.6342 -0.9566 -0.3745 0.0663 1.3652 0.9241
1.8038 0.4721 -1.4685 2.7607 0.0923 -1.0336 0.8373
1.8278 0.8053 -0.5561 2.2654 -1.2541 1.2222 -0.8333
1.8518 -0.1523 0.4063 3.2004 0.1037 -1.0895 -0.8216
1.8758 -1.7621 0.2829 2.3805 0.293 0.4877 -0.0705
1.839 0.1927 1.9128 -0.4332 -0.6105 0.8039 -0.1854
1.9471 0.0561 1.8477 1.4713 -0.9022 -0.3522 -0.4454
1.8836 0.0665 -0.1407 1.9656 -0.8884 -0.2255 0.9281
1.9282 -1.8172 0.5063 1.8646 0.742 0.1995 0.2257
1.9187 -0.6751 -1.3485 5.8883 -1.1103 -1.2212 0.2192
1.9728 -0.0315 -0.3647 1.8491 -0.6762 -0.864 1.8429
2.0269 0.7286 2.0529 0.017 -0.0372 -0.3549 -0.6227
2.0174 -0.6541 0.7594 1.997 0.6291 0.1804 -1.1079
2.062 0.7323 -0.8525 1.7116 0.9768 0.1815 -0.8755
1.9985 -0.9522 1.3595 2.5844 -0.5281 -0.1382 -0.5021
2.1066 -0.1009 -0.8643 4.5785 -0.0922 -0.5875 -1.0669
2.1598 -0.0351 -0.2003 0.7274 -0.2048 1.0444 0.5717
2.1727 -0.5044 1.3158 0.3187 -0.3939 -0.3533 1.5313
2.1315 0.2079 1.5892 -1.2252 -0.0534 1.3887 0.0752
2.1586 1.3219 0.8696 0.717 0.0924 -1.068 0.0808
2.1856 -0.6133 0.8484 4.7433 -1.0962 -0.98 -0.942
2.2525 -0.5716 -0.8226 3.9738 -0.7961 -0.049 0.2734
2.3194 -1.0742 -0.1181 2.4668 -0.3303 1.8686 -0.7655
2.4258 1.541 -0.7898 -0.0583 0.3829 0.9684 0.1742
2.4122 0.8862 0.5283 0.502 -0.7219 -0.1574 1.1408
2.3986 -1.7496 -0.1648 5.3264 0.8172 -1.4798 -0.5771
2.385 -1.4291 -0.1162 3.7972 -0.0798 -0.0102 0.0036
2.3443 0.6214 0.817 1.2633 -0.0253 -0.2087 -0.2559
2.3488 -0.6226 1.5686 1.726 -1.6908 0.3684 0.7957
2.3533 1.6554 0.0261 2.6866 -1.787 -1.2615 0.8816
2.3713 0.4178 -2.1967 3.1931 0.619 0.6321 -0.4265
2.3576 1.4523 0.3351 -1.6916 1.5355 -0.3609 0.9932
2.3666 -0.5023 -0.3526 1.8878 1.9708 0.1502 -0.9065
2.3846 0.0573 -1.7627 3.0078 -1.226 1.2855 0.8396
2.4657 -1.1867 -1.9131 4.0415 0.0493 0.4893 0.7188
2.3709 0.2454 1.1968 2.8965 -1.2329 0.6611 -1.5505
2.3754 0.4497 -0.4509 0.5195 0.5506 0.4346 0.7422
2.3799 -0.1459 -1.9025 7.2042 -0.9883 -1.5839 -0.359
2.3979 -0.24 -0.2071 4.8079 0.487 -1.6466 -0.9602
2.4249 1.644 0.717 -1.3148 -0.0336 0.7999 0.4493
2.4518 0.1416 0.8557 1.5163 -0.0591 -0.6698 0.4514
2.4787 -1.678 1.2148 5.0761 -1.3503 -1.2233 0.1436
2.5056 -0.1053 0.8838 0.0737 0.7642 0.9856 -0.339
2.6103 0.0887 -1.1051 1.9645 -0.393 1.1884 0.7217
2.7184 0.0959 0.0614 1.0543 1.4712 -0.1612 -0.0266
2.6326 -2.3569 0.6974 4.0527 -0.4709 0.5481 -0.0503
2.7227 -0.4417 0.8381 1.3235 -0.0965 0.656 0.1846
2.6549 1.0895 -0.2712 2.3935 0.5529 -1.5123 0.275
2.6549 1.8908 0.3818 -2.5152 1.9515 2.2814 -1.4163
2.6789 -0.4387 0.6913 -0.434 -0.0323 1.1704 1.5133
2.7029 1.3648 -0.7923 1.5062 0.8487 0.9856 -1.3612
2.727 0.0546 0.6287 1.4259 1.5016 -0.8523 -0.239
-0.3155 -0.1766 0.3166 -2.9895 1.2487 0.4483 0.5249
-0.2914 -0.0499 0.7403 -2.5987 -0.8942 1.5232 0.6143
-0.2674 0.6924 -1.3163 -1.3576 0.8852 -0.1378 0.6284
-0.2434 0.4387 0.0503 -3.0236 0.9515 0.1126 0.8502
-0.2434 0.5027 -0.8442 3.2468 -0.8374 -2.4857 -0.2176
-0.3112 2.1124 -0.9544 -2.8178 0.1531 1.3449 -0.4091
-0.2211 0.0444 -0.0147 -1.8673 0.3835 1.5462 -0.7064
-0.3069 -0.2645 1.2364 -0.1734 0.4244 0.328 -2.1554
-0.1988 0.9787 -0.9137 -0.9432 0.0898 -0.558 0.7565
-0.0126 -0.6629 0.9093 -1.3374 0.5769 -1.3014 1.3698
0.0003 -0.5714 0.4578 0.2516 0.4941 -0.4398 -0.5818
-0.0409 1.2376 -0.1515 0.459 0.8243 -1.6199 -1.048
-0.0139 -1.0015 -0.0281 2.7268 -1.594 -0.3726 -0.1247
0.0132 0.4801 0.0071 -1.7719 0.7571 -0.4328 0.6318
0.0801 0.2151 0.0258 1.6819 0.3673 -1.5042 -1.0748
0.147 0.1657 -0.1893 1.4995 -1.1939 0.3815 -0.9401
0.1101 2.4499 0.0137 -1.644 -1.2057 0.2387 -0.036
0.1341 -0.5273 -1.1292 0.1917 0.2769 0.3352 0.6348
0.1582 0.3994 -0.8642 0.0031 0.519 -0.1123 -0.1358
0.1822 -0.4914 0.2714 2.9922 -0.3994 -2.7612 0.155
0.1822 -0.5656 0.3505 0.189 0.1744 -0.2129 -0.1598
0.1144 -0.0603 -0.4245 0.0766 0.2483 0.3294 -0.3625
0.2045 0.1444 1.6695 -0.0755 0.318 -2.0694 -0.1883
0.1187 1.9724 0.7887 -3.9826 0.5346 0.5106 0.0334
0.2268 -1.4672 -0.907 3.6576 -0.7768 -0.6012 -0.1303
0.1719 -0.0333 -1.2222 0.5427 -0.5259 0.7117 0.3876
0.28 0.8287 2.046 -3.3891 -0.3309 0.075 0.6299
0.2251 -0.0061 0.2577 0.4161 -0.2193 -0.0657 -0.4665
0.3332 0.2693 0.5817 -1.4223 -0.837 -0.3293 1.6326
0.2474 -1.1189 0.4664 -0.6735 0.5709 -0.4544 1.117
0.3375 -1.1626 -1.3448 -0.0815 0.1248 1.1915 1.1822
0.2697 0.5368 1.758 -1.3867 0.1179 -0.689 -0.3871
0.2697 -0.2237 0.2546 0.0185 0.6403 0.4578 -1.1899
0.2937 -1.3142 -1.7706 3.1549 -0.1158 -1.8247 1.7855
0.3177 -0.9754 -1.4309 3.3979 0.4736 -0.3126 -1.2025
0.3418 -0.5524 -0.5225 -0.1431 -0.0478 0.2282 0.9668
0.3229 0.8562 1.3247 -0.7829 -0.1117 -0.521 -0.7543
0.3454 -0.3588 -0.1182 2.2363 0.2618 -1.4592 -0.5618
0.3679 -0.6213 0.1276 -0.3874 -0.5209 1.0516 0.3233
0.3905 0.5492 0.4338 1.6004 0.1022 -1.2288 -1.4379
0.413 -0.31 -1.7041 1.245 1.4465 0.1578 -0.8028
0.3272 2.8408 -1.0194 -1.1788 -0.5944 0.8385 -0.8141
0.3315 0.0865 -0.108 -0.4611 0.7613 0.7126 -0.945
0.3847 0.1929 -1.2529 4.433 0.2813 -2.2505 -1.2996
0.4379 0.8142 0.0356 -0.2276 0.8842 -0.1705 -1.1651
0.4602 0.7976 0.2729 -2.848 0.6749 -0.0311 1.2954
0.4825 -0.4898 -0.6104 -0.9357 -0.6886 1.1299 1.7218
0.505 -1.408 -0.8645 2.6719 -0.2702 1.1456 -1.1383
0.5275 0.3669 3.29 -4.2527 0.5706 -0.8998 1.0718
0.55 0.9865 1.6415 -3.1039 0.0624 0.0215 0.5568
0.5726 -0.5039 -0.1477 1.5261 0.375 -0.4711 -0.6197
0.7304 0.2458 -0.3332 2.0139 -1.6691 -0.5134 0.6537
0.7521 0.5149 0.4268 1.4096 -1.2361 -0.2822 -0.4198
0.7737 0.8458 -0.1957 -1.8856 -0.0694 1.4166 0.3264
0.7845 0.2416 0.7195 1.5386 -0.3903 -1.3822 -0.3077
0.7953 0.9001 -0.5854 -1.8573 0.4338 0.3686 1.1849
0.8169 -0.9486 -0.0995 1.9313 -0.0447 0.8571 -1.2838
0.8385 -0.7257 -1.106 1.7822 1.1174 0.2704 -0.8982
0.8377 0.8203 -1.6312 0.4023 1.1466 -0.3323 0.1168
0.9183 1.0615 0.4924 -1.3812 1.1515 -0.2645 -0.5147
0.8909 0.2523 -0.2954 -1.2327 -0.2761 1.3643 0.7141
0.9981 -1.1274 1.5331 -2.2148 1.0158 0.7893 0.5662
0.9612 1.2095 -0.9917 -0.17 1.4153 -1.0984 0.3247
0.9853 1.4021 0.6901 1.3396 -1.5609 -1.2557 0.019
1.0093 -0.2094 0.3758 -0.3531 0.8091 -0.5399 0.5564
1.0333 0.7715 -1.0173 1.3123 0.0814 -0.6798 0.1904
1.0333 0.1802 -0.476 0.1946 0.2976 -0.3267 0.7726
0.9655 0.8825 -1.4034 1.3901 -1.7811 0.4841 1.0665
1.0556 -0.7463 1.8287 0.3246 -0.5807 1.1554 -1.361
0.9698 0.3423 1.1753 -0.7577 -0.9004 0.9987 -0.2106
1.0779 0.4762 -0.42 -0.3596 0.3903 0.218 0.374
1.023 -0.2979 0.2136 -0.4319 0.768 1.2444 -0.7705
1.1311 0.6523 0.9672 -1.9544 1.7992 0.1503 -0.8554
1.0762 -1.3527 -1.1372 2.8579 -0.2412 1.3952 -0.7738
1.1843 -1.9618 -0.2325 0.8841 -0.0251 1.0251 1.0313
1.0985 -0.7306 -0.8913 3.0876 -1.0431 -0.3654 0.6925
1.1886 -2.388 1.6141 3.4444 -1.6185 0.1684 -0.523
1.1208 0.567 -1.8171 4.6549 0.1378 -1.116 -1.5945
1.1208 0.9872 2 -2.7534 0.8583 -0.2286 -0.0457
1.1448 -0.6391 -0.5465 1.7877 -0.4908 0.5611 0.1035
1.1689 -1.1327 -0.4195 3.7853 -1.2829 -0.9217 0.7191
1.1929 1.3718 -0.8075 -0.6356 0.0582 0.2436 0.5951
1.174 1.1515 1.1013 -2.6782 0.3637 1.7472 -0.8093
1.1965 -0.2809 -1.9599 3.1108 0.479 -0.7113 0.2239
1.2191 -0.6437 0.8068 -1.0198 1.0047 0.064 0.63
1.2416 0.0586 0.5399 -0.5926 -0.082 0.3962 0.5206
1.2641 -0.9179 -1.6594 3.0191 0.1344 -0.1963 0.4588
1.1783 0.002 -0.2451 -1.7252 1.0489 0.1314 1.6573
1.1826 0.447 -1.6995 0.472 -0.0561 0.4578 1.2639
1.2358 0.2079 2.1675 -3.3849 0.6393 0.6317 0.6628
1.289 -1.1472 -0.3192 3.6686 -0.4493 -1.1938 0.39
1.3113 -0.092 -0.9663 1.3875 0.1776 -0.1336 0.6239
1.3336 -0.0294 0.2973 -0.2931 0.5657 0.5565 -0.082
1.3561 -0.3683 0.0586 0.7966 0.723 0.0599 -0.2563
1.3786 1.0374 0.8448 -1.2764 -0.3232 -0.7626 1.4882
1.4012 -2.113 0.0281 1.987 1.6388 0.1089 -0.6544
1.4237 0.3561 -0.8583 2.6653 -1.3218 0.5545 -0.3954
1.3688 -1.7346 -1.1192 5.1055 -2.381 1.4586 -0.3364
1.3904 -0.7919 0.2047 3.5827 -0.9887 -0.3698 -0.6068
1.412 0.9806 0.0951 -0.6019 0.8724 -0.9628 0.7073
1.4336 -0.1361 1.5166 -2.0778 -0.6628 1.5206 0.8699
1.4553 -0.8536 -0.1954 0.8514 0.4703 -0.1146 0.8877
1.4769 -0.9987 -0.083 2.9165 0.7338 -1.5722 0.0564
1.4855 1.1292 -1.2705 0.8686 0.3873 -0.2344 0.2436
1.494 -0.1918 0.0146 4.3865 -0.606 -0.09 -2.3974
1.5026 -1.5907 -0.8626 0.6532 1.2134 2.5618 -0.8371
1.5112 0.7527 0.7826 -0.916 -0.8874 1.7169 -0.2848
1.5198 -1.785 0.2466 6.1562 -0.8753 -2.3694 -0.2312
1.5284 -0.9581 -0.2099 3.5027 -0.0219 1.3302 -2.4259
1.55 -1.0689 0.5296 1.9351 -0.0614 -0.9904 0.8437
1.5716 -1.8274 -0.8502 4.9215 -0.8587 0.2291 -0.4387
1.5932 -0.6242 -0.9163 1.2264 1.8024 0.8582 -1.0958
1.6148 -1.2342 1.0286 0.3818 1.9995 -1.2151 0.2595
1.6365 -0.1261 -0.7227 2.943 0.814 -0.0838 -1.5777
1.5816 1.4185 -0.4877 1.0137 -1.4537 -0.5685 1.3499
1.6032 -0.1314 -0.8977 4.8434 -2.0673 -0.8043 0.2966
1.6248 -0.4036 0.3558 3.0706 0.5216 0.2315 -2.4877
1.6464 0.9351 1.1122 -2.2446 0.422 1.5663 -0.4953
1.668 0.3758 -0.6842 3.417 0.0006 -0.5425 -1.2724
1.6897 -0.5121 -0.2068 4.8818 -1.5102 0.0156 -1.4205
1.6481 -0.2242 -1.4963 2.7321 0.0661 -1.09 1.3489
1.7562 1.0688 0.235 -0.0071 -0.6983 1.8478 -1.0909
1.7145 -1.7491 -0.5985 2.1273 0.2876 1.4089 -0.0979
1.8227 -0.3027 -0.8503 3.1418 -0.1752 -0.4823 0.0704
1.7369 0.969 -0.3339 0.7789 -0.0141 -1.0311 1.0655
1.8269 0.1526 0.2522 0.9299 -0.0378 1.3188 -1.1877
1.7592 0.8039 0.9257 -3.3796 0.5336 0.7965 1.7599
1.7592 1.3585 0.0564 -0.4736 0.2956 -0.2924 0.5176
1.7832 -1.7304 1.1718 3.1692 0.7536 -0.4442 -1.5079
1.8072 0.9156 -1.5872 3.9855 -0.188 -0.9212 -0.7408
1.8312 1.853 1.7119 -4.1297 0.0443 0.8335 1.1399
2.0071 0.0318 0.954 0.4905 -0.0051 0.533 -0.3097
2.0447 -0.4505 -0.5796 3.839 -1.5248 -0.4927 0.8852
2.0823 -1.3707 -0.4052 2.2839 1.6031 -0.1643 -0.2143
2.0831 0.522 -0.0354 1.6601 -1.4741 0.7437 0.3055
2.1199 0.1514 1.4346 -2.2626 0.5879 0.8531 0.9784
2.1574 0.4711 -1.127 1.1137 0.6658 -0.3633 1.0229
2.1229 0.4804 -1.2896 0.3504 -0.7782 2.1616 0.8518
2.195 -1.829 -1.6417 4.412 -1.0343 1.5357 0.2872
2.1894 0.8717 -0.4564 5.0135 -1.3888 -0.8665 -1.3724
2.1837 0.9531 -1.553 1.4481 0.6968 0.6984 -0.3897
2.1628 -1.3996 0.6183 0.6882 0.4577 0.6973 0.725
2.178 -1.3993 -1.0003 3.3151 0.2329 0.2223 0.4329
2.1724 1.1326 -0.6335 -0.2968 1.5282 0.7447 -0.5763
2.1667 1.2476 0.199 0.2647 -0.2585 -0.7078 1.1254
0.9166 -0.7811 -1.7622 4.0531 -1.8773 0.4913 0.2605
0.9406 -0.1296 -0.8638 1.4354 -1.384 -0.1115 1.446
0.9647 0.9494 0.3737 -0.3847 0.9123 0.6162 -1.9973
0.9887 -0.6282 1.5579 1.1613 0.1871 -1.0462 -0.8228
0.9887 0.8481 -0.7704 -2.0953 -0.2448 1.1615 1.5316
0.9209 0.3252 -0.9175 2.3502 -2.1531 0.7057 0.1011
1.011 -0.0452 -0.2536 -0.6336 1.0219 -0.4156 0.7753
0.9252 0.5854 1.5236 -1.6165 0.436 -0.8415 0.3704
1.0333 1.1765 0.0951 -2.2306 0.2656 1.5878 -0.414
0.9784 -0.9945 1.7455 -1.8688 0.7421 1.694 -0.8298
1.0234 -1.2845 1.2937 -1.4372 0.6364 -0.3397 1.5988
1.0865 0.197 -0.0425 3.0945 -1.2344 -0.9023 -0.6216
1.0633 -0.554 0.5485 0.2764 0.5623 -0.2356 -0.0601
1.0316 0.8503 -0.3835 2.4072 0.7907 -2.033 -1.0344
1.1397 0.3372 0.7226 -0.4235 -1.5587 1.0388 0.4123
1.0539 0.2617 -0.3044 -0.9687 0.8164 0.2362 0.5453
1.144 1.4824 -1.0658 1.2428 -0.5329 -0.0151 -0.51
1.0762 1.2086 0.8958 -3.2707 1.2376 -0.5847 1.1287
1.0897 0.5586 0.1964 -0.0338 -1.687 -0.0469 1.5662
1.1032 0.5533 0.3515 1.448 -0.5385 -0.2861 -0.9391
1.1303 -1.0593 -0.9309 0.0548 0.0623 1.0869 1.344
1.1393 -1.3078 -0.7503 2.1808 0.2306 -0.1988 0.4066
1.1483 -1.0739 0.4666 2.4193 -0.9693 -0.5177 0.2143
1.1859 -1.1233 -0.0442 2.639 -0.3308 -0.5241 0.0642
1.1912 0.7044 -0.6085 -0.285 1.4471 -1.0625 0.5594
1.1965 0.0649 0.3894 -0.3139 0.5073 1.1799 -1.0924
1.3242 0.7557 -1.3698 -0.8006 0.4116 0.6682 1.2062
1.3458 1.3438 -0.1319 -0.0334 -0.6108 0.7884 -0.4863
1.3674 1.1454 -2.0697 2.1857 1.156 0.0578 -1.5596
1.3782 0.7228 0.9477 -0.7943 0.105 -0.6063 0.4809
1.389 1.2459 0.4585 -0.4003 -0.2349 -0.2368 0.0347
1.4106 -0.045 -0.3245 2.3662 -1.0385 -1.0648 0.9321
1.4323 -0.138 1.2152 -0.3331 -0.0322 -0.899 1.0173
1.4314 -0.6369 0.3719 2.4713 -1.7742 0.1007 0.3204
1.404 -1.1343 -2.7696 1.463 1.0232 0.4982 1.8457
1.5121 -1.3199 0.5114 3.9099 0.1496 -0.0403 -2.2955
1.4846 2.361 -0.611 1.7019 0.1394 -1.1171 -1.4538
1.4837 0.0083 -0.9959 -0.4759 0.1252 0.7725 1.5708
1.5919 0.8251 1.9365 -0.8245 -0.4591 0.1595 -0.6286
1.6114 -2.222 1.8167 -0.7284 0.343 0.7057 1.1594
1.6167 -0.0036 1.2463 0.8998 0.1955 -0.1212 -1.0738
1.6221 0.0952 -2.3104 3.8627 -0.0244 -0.212 -0.2475
1.7497 -1.935 0.5311 1.3786 0.1285 0.0737 1.0473
1.7713 0.0408 1.4557 1.5526 -0.7832 -0.8209 -0.192
1.793 0.5756 1.457 -3.4802 0.25 2.0011 0.4728
1.8038 1.167 0.3176 1.5358 0.7199 -0.8647 -1.5569
1.8146 2.5359 -1.2397 -2.5508 1.0185 -0.043 1.6192
1.8362 -1.4025 -0.206 2.9158 -0.3702 0.4197 -0.1172
1.8578 0.9475 2.1156 -1.4603 2.0218 -1.0587 -1.2434
1.8703 -1.8723 1.0765 2.4238 0.1737 -0.0178 -0.4842
1.9243 0.0949 -0.8934 1.7772 0.7118 0.1338 -0.462
1.9368 -0.3972 1.743 -0.739 -0.0896 -0.2925 1.1524
1.9908 1.8572 -0.733 -0.2748 -0.32 0.6621 0.2506
1.9591 -1.4368 0.3991 0.0905 1.6355 0.8121 -0.0858
1.9951 -1.5309 0.7968 0.7794 -0.9174 0.3371 1.8883
1.9814 0.9032 0.4021 0.5606 0.5193 0.6822 -1.5991
1.9904 -0.0316 0.3834 2.3157 -0.5396 -1.1514 0.441
1.9994 -0.3861 -0.091 0.8043 1.0984 -0.3876 0.4028
2.037 0.0553 0.1753 2.5328 -0.232 -0.4718 -0.4999
2.0423 0.4149 0.4184 2.7415 -0.7241 -0.6914 -0.5959
2.0476 1.1823 1.7549 -1.6424 -1.6887 1.2403 0.7039
2.3881 0.824 1.8422 1.5164 -0.8731 -1.3437 -0.0636
2.4097 -2.142 -1.3366 4.993 -1.2027 -0.0496 1.5808
2.4313 -0.9341 -0.0424 2.8454 -0.5206 -0.3084 0.8368
2.4421 -0.4258 -0.4437 3.7397 0.4083 -1.2429 -0.123
2.4529 -0.0218 1.4025 -1.9225 0.9045 0.0802 1.4636
2.4746 0.7284 0.4024 3.6875 -2.154 -1.0533 0.2742
2.4962 -0.3139 -1.795 2.3875 1.3773 1.1029 -0.8147
2.4546 0.5334 -0.438 5.3006 -0.9636 -0.9466 -1.5006
2.5086 -0.0959 0.4939 -1.0894 1.2022 0.1655 1.3068
2.5627 -1.6049 0.3709 2.8513 -0.1055 0.5857 -0.1573
2.5211 -0.5366 0.0369 4.6647 -0.5084 0.0556 -1.6773
